"direction","p","expected_p","observed_minus_log10_p","expected_minus_log10_p"
"forward",0.706258877827278,0.672018348623853,0.15103607996236,0.172618868914477
"forward",0.710374391373733,0.676605504587156,0.148512703036803,0.169664473290423
"forward",0.718198432910098,0.681192660550459,0.143755546827935,0.166730039951374
"forward",0.71907444759387,0.685779816513762,0.143226143684663,0.163815300944156
"forward",0.722038005555959,0.690366972477064,0.141439942085723,0.160919993674743
"forward",0.727066171405423,0.694954128440367,0.138426061536483,0.158043860766281
"forward",0.727756791526909,0.69954128440367,0.138013732974143,0.1551866499218
"forward",0.731937441422669,0.704128440366973,0.135526036436083,0.1523481137914
"forward",0.734575308337009,0.708715596330275,0.133963673912329,0.149528009843751
"forward",0.745272009024095,0.713302752293578,0.127685189724613,0.146726100241749
"forward",0.746699104564027,0.717889908256881,0.126854369474122,0.143942151722138
"forward",0.76366489380226,0.722477064220184,0.117097173753036,0.141175935478985
"forward",0.778444212130252,0.727064220183486,0.108772506065856,0.138427227050835
"forward",0.785875211984109,0.731651376146789,0.10464640949397,0.135695806211405
"forward",0.791615313073269,0.736238532110092,0.10148581335536,0.132981456863714
"forward",0.796507713021697,0.740825688073395,0.0988100143304666,0.130283966937483
"forward",0.799541578391794,0.745412844036697,0.0971589468063015,0.127603128289712
"forward",0.799541578391794,0.75,0.0971589468063015,0.1249387366083
"forward",0.800975168838671,0.754587155963303,0.0963809473408579,0.122290591318612
"forward",0.805384385873392,0.759174311926605,0.0939967943893255,0.119658495492867
"forward",0.805384385873392,0.763761467889908,0.0939967943893255,0.117042255762266
"forward",0.813520077052485,0.768348623853211,0.0896317245396452,0.114441682231741
"forward",0.817167044899937,0.772935779816514,0.0876891561202301,0.111856588397247
"forward",0.81731095997303,0.777522935779817,0.0876126772418576,0.109286791065504
"forward",0.818651176623899,0.782110091743119,0.0869011096410973,0.106732110276088
"forward",0.82498464255431,0.786697247706422,0.0835541359543151,0.104192369225816
"forward",0.825799176869524,0.791284403669725,0.0831255543520914,0.101667394195312
"forward",0.825799176869524,0.795871559633028,0.0831255543520914,0.0991570144777123
"forward",0.831663322270334,0.80045871559633,0.0800524512000849,0.0966610623094061
"forward",0.839886604644221,0.805045871559633,0.0757793452495734,0.0941793728027619
"forward",0.842317076899625,0.809633027522936,0.074524394454971,0.0917117838807635
