"dataset","source_id","trait","ancestry","genome_build","tier","p_threshold","candidate_snps","strong_snps","mapped_snps","post_clump_snps","min_f","mean_f","exclusion_reason"
"microbiome_2026","GCST90670388","Gut microbiome species abundance (Acetatifactor intestinalis, GCF_009695995.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670388","Gut microbiome species abundance (Acetatifactor intestinalis, GCF_009695995.1)","EUR","GRCh37","exploratory",1e-05,75,75,73,16,19.6672967863894,21.7079894413933,""
"microbiome_2026","GCST90670389","Gut microbiome species abundance (Phocaeicola vulgatus, GCF_000012825.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670389","Gut microbiome species abundance (Phocaeicola vulgatus, GCF_000012825.1)","EUR","GRCh37","exploratory",1e-05,138,138,137,18,19.4466541252351,21.2361792354731,""
"microbiome_2026","GCST90670390","Gut microbiome species presence (Phascolarctobacterium A succinatutens, GCF_000188175.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670390","Gut microbiome species presence (Phascolarctobacterium A succinatutens, GCF_000188175.1)","EUR","GRCh37","exploratory",1e-05,55,55,55,9,19.5399185663721,21.5284020212816,""
"microbiome_2026","GCST90670391","Gut microbiome species abundance (ER4 sp000765235, GCF_000765235.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670391","Gut microbiome species abundance (ER4 sp000765235, GCF_000765235.1)","EUR","GRCh37","exploratory",1e-05,115,115,113,17,19.4905898491084,21.9776788974047,""
"microbiome_2026","GCST90670392","Gut microbiome species presence (Bifidobacterium pseudocatenulatum, GCF_001025215.1)","EUR","GRCh37","primary",5e-08,1,1,1,1,29.8433639461473,29.8433639461473,""
"microbiome_2026","GCST90670392","Gut microbiome species presence (Bifidobacterium pseudocatenulatum, GCF_001025215.1)","EUR","GRCh37","exploratory",1e-05,240,240,236,19,19.7945067947937,22.1017803361834,""
"microbiome_2026","GCST90670393","Gut microbiome species abundance (RUG115 sp900066395, GCF_003479605.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670393","Gut microbiome species abundance (RUG115 sp900066395, GCF_003479605.1)","EUR","GRCh37","exploratory",1e-05,115,115,114,22,19.6822136076432,21.2239006167663,""
"microbiome_2026","GCST90670394","Gut microbiome species abundance (Alistipes putredinis, GCF_000154465.1)","EUR","GRCh37","primary",5e-08,2,2,2,1,31.2345182985414,31.2345182985414,""
"microbiome_2026","GCST90670394","Gut microbiome species abundance (Alistipes putredinis, GCF_000154465.1)","EUR","GRCh37","exploratory",1e-05,118,118,113,24,19.5513136884889,21.6597561315329,""
"microbiome_2026","GCST90670395","Gut microbiome species abundance (Streptococcus salivarius, GCF_000785515.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670395","Gut microbiome species abundance (Streptococcus salivarius, GCF_000785515.1)","EUR","GRCh37","exploratory",1e-05,30,30,29,7,19.5811686155667,20.6514841879119,""
"microbiome_2026","GCST90670396","Gut microbiome species presence (CAG-217 sp000436335, GCA_000436335.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670396","Gut microbiome species presence (CAG-217 sp000436335, GCA_000436335.1)","EUR","GRCh37","exploratory",1e-05,178,178,175,16,20.1410560146924,22.2315092354538,""
"microbiome_2026","GCST90670397","Gut microbiome species abundance (Escherichia coli, GCF_003697165.2)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670397","Gut microbiome species abundance (Escherichia coli, GCF_003697165.2)","EUR","GRCh37","exploratory",1e-05,81,81,79,23,19.5352666831032,21.4058769723522,""
"microbiome_2026","GCST90670398","Gut microbiome species presence (PeH17 sp000435055, GCA_000435055.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670398","Gut microbiome species presence (PeH17 sp000435055, GCA_000435055.1)","EUR","GRCh37","exploratory",1e-05,50,50,50,12,19.6224093159788,22.0147654406719,""
"microbiome_2026","GCST90670399","Gut microbiome species presence (Methanobrevibacter A smithii, GCF_000016525.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670399","Gut microbiome species presence (Methanobrevibacter A smithii, GCF_000016525.1)","EUR","GRCh37","exploratory",1e-05,526,526,525,23,19.6464572680789,21.6632912248903,""
"microbiome_2026","GCST90670400","Gut microbiome species abundance (Ruminococcus B gnavus, GCF_008121495.1)","EUR","GRCh37","primary",5e-08,41,41,40,1,41.0400390625,41.0400390625,""
"microbiome_2026","GCST90670400","Gut microbiome species abundance (Ruminococcus B gnavus, GCF_008121495.1)","EUR","GRCh37","exploratory",1e-05,142,142,138,25,19.5936418685121,22.4888030694704,""
"microbiome_2026","GCST90670401","Gut microbiome species presence (Ruminococcus E sp003526955, GCF_023921805.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670401","Gut microbiome species presence (Ruminococcus E sp003526955, GCF_023921805.1)","EUR","GRCh37","exploratory",1e-05,74,74,74,13,19.7664353542732,21.7625142319161,""
"microbiome_2026","GCST90670402","Gut microbiome species abundance (Parabacteroides distasonis, GCF_000012845.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670402","Gut microbiome species abundance (Parabacteroides distasonis, GCF_000012845.1)","EUR","GRCh37","exploratory",1e-05,49,49,49,17,19.6230149388864,21.1075192656007,""
"microbiome_2026","GCST90670403","Gut microbiome species abundance (Roseburia intestinalis, GCF_900537995.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670403","Gut microbiome species abundance (Roseburia intestinalis, GCF_900537995.1)","EUR","GRCh37","exploratory",1e-05,95,95,93,18,19.5326910851386,21.0693301217629,""
"microbiome_2026","GCST90670404","Gut microbiome species abundance (Bacteroides uniformis, GCA_025147485.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670404","Gut microbiome species abundance (Bacteroides uniformis, GCA_025147485.1)","EUR","GRCh37","exploratory",1e-05,110,110,109,18,19.5888203017833,21.2336243162932,""
"microbiome_2026","GCST90670405","Gut microbiome species abundance (Faecalibacillus intestinalis, GCF_003024685.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670405","Gut microbiome species abundance (Faecalibacillus intestinalis, GCF_003024685.1)","EUR","GRCh37","exploratory",1e-05,27,27,26,13,19.6438903061225,21.2580104269619,""
"microbiome_2026","GCST90670406","Gut microbiome species abundance (Lachnospira sp000437735, GCF_020564355.1)","EUR","GRCh37","primary",5e-08,0,0,0,0,,,"no_variant_below_threshold"
"microbiome_2026","GCST90670406","Gut microbiome species abundance (Lachnospira sp000437735, GCF_020564355.1)","EUR","GRCh37","exploratory",1e-05,50,50,50,19,19.5069444444444,21.6942567763366,""
"microbiome_2026","GCST90670407","Gut microbiome species presence (SFEL01 sp004557245, GCA_004557245.1)","EUR","GRCh37","primary",5e-08,23,23,23,1,31.6575700391929,31.6575700391929,""
"microbiome_2026","GCST90670407","Gut microbiome species presence (SFEL01 sp004557245, GCA_004557245.1)","EUR","GRCh37","exploratory",1e-05,124,124,123,26,19.552978515625,22.0868882876826,""
"microbiome_2026","GCST90670408","Gut microbiome species presence (Fimenecus sp000432435, GCA_000432435.1)","EUR","GRCh37","primary",5e-08,1,1,1,1,32.1227360946746,32.1227360946746,""
"microbiome_2026","GCST90670408","Gut microbiome species presence (Fimenecus sp000432435, GCA_000432435.1)","EUR","GRCh37","exploratory",1e-05,197,197,195,14,19.477076837189,21.7353896336504,""
