source_id,nsnp,F_metric,F_value
GCST90671669,2,Minimum F,32.4023668639053
GCST90671674,1,Minimum F,29.9175849403122
GCST90671689,1,Minimum F,31.5962326869806
GCST90671693,1,Minimum F,29.7624516871796
GCST90671695,2,Minimum F,33.0502670891806
GCST90671707,1,Minimum F,31.8135580178516
GCST90671709,1,Minimum F,31.5736961451247
GCST90671716,1,Minimum F,34.6159739359043
GCST90671717,2,Minimum F,30.2292488430046
GCST90671718,1,Minimum F,32.883056640625
GCST90671721,1,Minimum F,31.0158839449447
GCST90671723,4,Minimum F,30.1714795918367
GCST90671729,1,Minimum F,31.7240544298458
GCST90671733,2,Minimum F,35.4278236758714
GCST90671741,1,Minimum F,108.326464
GCST90671755,1,Minimum F,30.0033139755081
GCST90671759,1,Minimum F,30.7430644132653
GCST90671764,1,Minimum F,32.1508895044629
GCST90671773,1,Minimum F,31.5736961451247
GCST90671780,1,Minimum F,31.2662481839862
GCST90671781,4,Minimum F,30.1714795918367
GCST90671784,2,Minimum F,35.4278236758714
GCST90671789,1,Minimum F,107.827456
GCST90671803,1,Minimum F,31.5736961451247
GCST90671808,1,Minimum F,83.9776941682344
GCST90671821,1,Minimum F,31.825780543166
GCST90671822,1,Minimum F,31.6033019422038
GCST90671829,1,Minimum F,30.3842950624628
GCST90671830,1,Minimum F,32.6949375410914
GCST90671832,1,Minimum F,33.0955542343771
GCST90671836,1,Minimum F,30.3519375857339
