rank,observed_p,primary_BH,estimable_only_BH
135,0.63538558099319,0.0293478260869565,0.0309633027522936
136,0.63538558099319,0.0295652173913044,0.0311926605504587
137,0.639382970719619,0.0297826086956522,0.0314220183486239
138,0.654154639199526,0.03,0.031651376146789
139,0.654506016642217,0.0302173913043478,0.0318807339449541
140,0.654647545352491,0.0304347826086957,0.0321100917431193
141,0.664174396876849,0.0306521739130435,0.0323394495412844
142,0.676188907803458,0.0308695652173913,0.0325688073394495
143,0.69405987499609,0.0310869565217391,0.0327981651376147
144,0.70572154979991,0.031304347826087,0.0330275229357798
145,0.706258877827278,0.0315217391304348,0.033256880733945
146,0.706258877827278,0.0317391304347826,0.0334862385321101
147,0.706258877827278,0.0319565217391304,0.0337155963302752
148,0.710374391373733,0.0321739130434783,0.0339449541284404
149,0.718198432910098,0.0323913043478261,0.0341743119266055
150,0.71907444759387,0.0326086956521739,0.0344036697247706
151,0.722038005555959,0.0328260869565217,0.0346330275229358
152,0.727066171405423,0.0330434782608696,0.0348623853211009
153,0.727756791526909,0.0332608695652174,0.0350917431192661
154,0.731937441422669,0.0334782608695652,0.0353211009174312
155,0.734575308337009,0.033695652173913,0.0355504587155963
156,0.745272009024095,0.0339130434782609,0.0357798165137615
157,0.746699104564027,0.0341304347826087,0.0360091743119266
158,0.76366489380226,0.0343478260869565,0.0362385321100917
159,0.778444212130252,0.0345652173913043,0.0364678899082569
160,0.785875211984109,0.0347826086956522,0.036697247706422
161,0.791615313073269,0.035,0.0369266055045872
162,0.796507713021697,0.0352173913043478,0.0371559633027523
163,0.799541578391794,0.0354347826086957,0.0373853211009174
164,0.799541578391794,0.0356521739130435,0.0376146788990826
165,0.800975168838671,0.0358695652173913,0.0378440366972477
166,0.805384385873392,0.0360869565217391,0.0380733944954128
167,0.805384385873392,0.036304347826087,0.038302752293578
168,0.813520077052485,0.0365217391304348,0.0385321100917431
169,0.817167044899937,0.0367391304347826,0.0387614678899083
170,0.81731095997303,0.0369565217391304,0.0389908256880734
171,0.818651176623899,0.0371739130434783,0.0392201834862385
172,0.82498464255431,0.0373913043478261,0.0394495412844037
173,0.825799176869524,0.0376086956521739,0.0396788990825688
174,0.825799176869524,0.0378260869565217,0.039908256880734
175,0.831663322270334,0.0380434782608696,0.0401376146788991
176,0.839886604644221,0.0382608695652174,0.0403669724770642
177,0.842317076899625,0.0384782608695652,0.0405963302752294
178,0.844668533105206,0.038695652173913,0.0408256880733945
179,0.846192376707138,0.0389130434782609,0.0410550458715596
180,0.856178482551423,0.0391304347826087,0.0412844036697248
181,0.857900047548078,0.0393478260869565,0.0415137614678899
182,0.860441872079256,0.0395652173913043,0.041743119266055
183,0.868304134617468,0.0397826086956522,0.0419724770642202
184,0.876560248598682,0.04,0.0422018348623853
185,0.881486297867219,0.0402173913043478,0.0424311926605505
186,0.882200878477102,0.0404347826086957,0.0426605504587156
187,0.889475734214147,0.0406521739130435,0.0428899082568807
188,0.891754641377021,0.0408695652173913,0.0431192660550459
189,0.892239486956463,0.0410869565217391,0.043348623853211
190,0.89432302838217,0.041304347826087,0.0435779816513761
191,0.906993636103803,0.0415217391304348,0.0438073394495413
192,0.909435009006983,0.0417391304347826,0.0440366972477064
193,0.91875577863187,0.0419565217391304,0.0442660550458716
194,0.919201273761159,0.0421739130434783,0.0444954128440367
195,0.92163988786761,0.0423913043478261,0.0447247706422018
